"filename", "language", "Go Checksum File", "Go Module File", "Ini", "Markdown", "Go", "comment", "blank", "total"
"/home/kytolly/Project/gowork/blockchain/README.md", "Markdown", 0, 0, 0, 2, 0, 0, 1, 3
"/home/kytolly/Project/gowork/blockchain/cmd/service/main.go", "Go", 0, 0, 0, 0, 11, 0, 2, 13
"/home/kytolly/Project/gowork/blockchain/configs/config.ini", "Ini", 0, 0, 26, 0, 0, 0, 7, 33
"/home/kytolly/Project/gowork/blockchain/go.mod", "Go Module File", 0, 11, 0, 0, 0, 0, 5, 16
"/home/kytolly/Project/gowork/blockchain/go.sum", "Go Checksum File", 16, 0, 0, 0, 0, 0, 1, 17
"/home/kytolly/Project/gowork/blockchain/internal/block_model/block.go", "Go", 0, 0, 0, 0, 48, 19, 11, 78
"/home/kytolly/Project/gowork/blockchain/internal/block_model/proofofwork.go", "Go", 0, 0, 0, 0, 62, 10, 16, 88
"/home/kytolly/Project/gowork/blockchain/internal/block_model/serial.go", "Go", 0, 0, 0, 0, 24, 3, 5, 32
"/home/kytolly/Project/gowork/blockchain/internal/blockchain_model/blockchain.go", "Go", 0, 0, 0, 0, 93, 4, 18, 115
"/home/kytolly/Project/gowork/blockchain/internal/blockchain_model/blockchain_transaction.go", "Go", 0, 0, 0, 0, 54, 10, 12, 76
"/home/kytolly/Project/gowork/blockchain/internal/blockchain_model/findTXs.go", "Go", 0, 0, 0, 0, 87, 46, 16, 149
"/home/kytolly/Project/gowork/blockchain/internal/blockchain_model/iterator.go", "Go", 0, 0, 0, 0, 28, 3, 11, 42
"/home/kytolly/Project/gowork/blockchain/internal/blockchain_model/utils.go", "Go", 0, 0, 0, 0, 10, 0, 3, 13
"/home/kytolly/Project/gowork/blockchain/internal/blockchain_model/utxo.go", "Go", 0, 0, 0, 0, 133, 4, 23, 160
"/home/kytolly/Project/gowork/blockchain/internal/cli/cli.go", "Go", 0, 0, 0, 0, 97, 3, 16, 116
"/home/kytolly/Project/gowork/blockchain/internal/cli/command.go", "Go", 0, 0, 0, 0, 102, 6, 19, 127
"/home/kytolly/Project/gowork/blockchain/internal/transaction_model/TXoutputs.go", "Go", 0, 0, 0, 0, 12, 0, 5, 17
"/home/kytolly/Project/gowork/blockchain/internal/transaction_model/input.go", "Go", 0, 0, 0, 0, 15, 6, 4, 25
"/home/kytolly/Project/gowork/blockchain/internal/transaction_model/output.go", "Go", 0, 0, 0, 0, 21, 10, 5, 36
"/home/kytolly/Project/gowork/blockchain/internal/transaction_model/signature.go", "Go", 0, 0, 0, 0, 54, 16, 15, 85
"/home/kytolly/Project/gowork/blockchain/internal/transaction_model/transaction.go", "Go", 0, 0, 0, 0, 47, 10, 14, 71
"/home/kytolly/Project/gowork/blockchain/internal/transaction_model/utils.go", "Go", 0, 0, 0, 0, 17, 0, 4, 21
"/home/kytolly/Project/gowork/blockchain/internal/wallet_model/utils.go", "Go", 0, 0, 0, 0, 86, 4, 8, 98
"/home/kytolly/Project/gowork/blockchain/internal/wallet_model/wallet.go", "Go", 0, 0, 0, 0, 24, 5, 12, 41
"/home/kytolly/Project/gowork/blockchain/internal/wallet_model/wallets.go", "Go", 0, 0, 0, 0, 74, 8, 13, 95
"/home/kytolly/Project/gowork/blockchain/pkg/mid/logger.go", "Go", 0, 0, 0, 0, 38, 1, 4, 43
"/home/kytolly/Project/gowork/blockchain/pkg/setting/setting.go", "Go", 0, 0, 0, 0, 73, 0, 20, 93
"/home/kytolly/Project/gowork/blockchain/pkg/utils/base58.go", "Go", 0, 0, 0, 0, 49, 6, 14, 69
"/home/kytolly/Project/gowork/blockchain/pkg/utils/base58_test.go", "Go", 0, 0, 0, 0, 17, 0, 3, 20
"/home/kytolly/Project/gowork/blockchain/pkg/utils/controver.go", "Go", 0, 0, 0, 0, 18, 1, 3, 22
"/home/kytolly/Project/gowork/blockchain/pkg/utils/keyhashing.go", "Go", 0, 0, 0, 0, 23, 3, 3, 29
"Total", "-", 16, 11, 26, 2, 1317, 178, 293, 1843
